ID,System,Item,Quantity,Primary_material_or_technology,Disposition,Confinement_function,Authority,Donor_translation,Qualification_required
FIS-013,Active correction,Thermal sensors,TBD,Cryogenic fiber or qualified resistive sensors,NEW,Enforces thermal resource gate,Candidate,AHIS monitoring,Cryogenic radiation qualification
FIS-014,Passive correction,Flux-conserving superconducting loop,24,REBCO loop with protected joint concept,NEW,Attenuates time-varying field error only,Research candidate,IX-Vibe passive response,Physical optimization and quench testing
FIS-015,Passive correction,Loop joint or switch,24,Low-resistance superconducting joint or persistent switch,NEW,Enables induced current path,Research candidate,None,Cyclic and irradiation qualification
FIS-016,Passive correction,Loop support and insulation,24,Nonmagnetic cryogenic structure,NEW,Preserves passive-loop geometry,Candidate,IX-Vibe structural control,Stress and quench FEA
FIS-017,Passive correction,Loop health monitor,24,Voltage temperature and flux sensing,NEW,Removes passive credit after a fault,Candidate,AHIS confidence logic,Detection coverage analysis
FIS-018,Diagnostics,Boundary magnetic pickup array,TBD,Mineral-insulated pickup coils,NEW,Estimates error-field harmonics,Candidate,AHIS distributed sensing,Response calibration in representative field
FIS-019,Diagnostics,Flux-loop array,TBD,Mineral-insulated conductor and ceramic feedthrough,NEW,Tracks slow magnetic state,Candidate,AHIS distributed sensing,Radiation drift testing
FIS-020,Diagnostics,Primary-coil current metrology,All circuits,DCCT and redundant shunts,KEEP,Separates current error from geometry error,Candidate,AHIS state estimation,System calibration
FIS-021,Diagnostics,Cryogenic strain sensors,TBD,Radiation-qualified fiber Bragg grating array,NEW,Detects support deformation,Candidate,AHIS structural health monitoring,Cryogenic neutron qualification
FIS-022,Diagnostics,Support-motion sensors,TBD,Fiber interferometric or qualified displacement sensors,NEW,Detects modal alignment error,Candidate,IX-Vibe measured FRF,Integrated modal test
FIS-023,Control,Confidence-aware state estimator,2 independent,Deterministic validated control computer,NEW,Permits correction only with credible state,Candidate,AHIS observability,Hardware-in-loop fault campaign
FIS-024,Control,Independent watchdog,2 diverse,Safety PLC or FPGA with hard interlocks,NEW,Forces safe hold on control fault,Candidate,IX-Breath FDIR,Diversity and common-cause analysis
FIS-025,Control,Bounded state machine,1 validated baseline,Nominal Active-trim Passive-only Safe-hold Service states,NEW,Prevents uncontrolled field actuation,Candidate,IX-Breath bounded states,Formal verification
FIS-026,Structural control,All-metal tuned mass damper,TBD,Nonmagnetic alloy spring and proof mass,ADAPT,Suppresses measured warm-support modes,Candidate,IX-Vibe targeted damping,FRF-driven placement and fatigue test
FIS-027,Structural control,Eddy-current damper,TBD,Copper conductor with non-field-distorting magnet arrangement,DEFER,Damps warm-side support motion only,Candidate,PressureX rate-dependent load shaping,Magnetic compatibility review
FIS-028,Structural control,Piezoelectric shunt damper,TBD,Radiation-isolated warm-side piezo stack,DEFER,Damps narrow support resonances only,Candidate,AHIS and IX-Vibe shunt control,FRF authority and lifetime tests
FIS-029,Structural control,Alignment fiducials,TBD,Optical and metrology targets outside radiation hot zone,NEW,Tracks as-built geometry,Candidate,AHIS health baseline,Remote metrology demonstration
FIS-030,Magnet shield,Inner fast-neutron shield,TBD,Tungsten carbide,KEEP,Protects REBCO and cryogenics not plasma confinement,Candidate,IX-GCR-SPE graded protection,Full 3-D OpenMC optimization
FIS-031,Magnet shield,Neutron absorber layer,TBD,Boron carbide,KEEP,Absorbs slowed neutrons not plasma,Candidate,IX-Shield layered bookkeeping,Full 3-D OpenMC optimization
FIS-032,Magnet shield,Magnet-adjacent hydride composite,TBD,Stainless or MgO matrix with HfH1.7,DEFER,Potential local fast-neutron protection,Cross-architecture research,IX-GCR-SPE protected-zone logic,Stellarator-specific OpenMC corrosion and thermal qualification
FIS-033,Magnet shield,Shield health instrumentation,TBD,Thermometry leak detection and dosimetry,NEW,Validates protective state,Candidate,IX-GCR-SPE fill and leak monitoring,Radiation-qualified instrumentation
FIS-034,Magnet shield,Penetration labyrinth and local plugs,TBD,WC B4C and qualified structural matrix,NEW,Closes weak streaming paths,Candidate,IX-Shield weak-direction logic,Port-resolved 3-D neutronics
FIS-035,Blanket,Breeder coolant inventory,TBD,Enriched PbLi with helium-cooled alternative retained,KEEP,Breeds tritium and removes neutron heat,Reference candidate,None,MHD corrosion TBR and safety closure
FIS-036,Blanket,Load-bearing blanket structure,TBD,ODS-Eurofer or qualified RAFM steel,KEEP,Structural and low-activation function,Candidate,HfTaZen layered load paths,Code qualification and ferromagnetic field model
FIS-037,Blanket,Flow-channel electrical insert,TBD,SiC composite or alumina barrier,KEEP,Reduces PbLi MHD drag,Candidate,None,Compatibility and irradiation testing
FIS-038,Blanket,Helium cooling circuit,TBD,High-pressure helium and qualified piping,KEEP,Heat removal only,Candidate,IX-Breath resource accounting,Plant thermal-hydraulic closure
FIS-039,Plasma-facing,Segmented first-wall armor,TBD,Tungsten family,KEEP,Survives edge contact but does not confine,Candidate,HfTaZen segmentation,High-heat-flux and neutron testing
FIS-040,Plasma-facing,Toughened armor option,TBD,Long-fiber tungsten-reinforced tungsten,DEFER,Damage-resilient wall option only,Research candidate,HfTaZen strain decoupling,Fusion-neutron and joining qualification
FIS-041,Plasma-facing,Armor heat-sink interface,TBD,Graded or serrated W-Cu interface,DEFER,Transfers wall heat only,Research candidate,HfTaZen compliant interface,High-cycle thermal testing
FIS-042,Plasma-facing,Wall conditioning,TBD,Nanometer boron film or controlled boron powder,DEFER,Reduces impurity and oxygen burden indirectly,Experimental candidate,None,Stellarator-relevant plasma campaign
FIS-043,Divertor,Optional flowing liquid-lithium module,Local test cassette,Thin controlled lithium surface with compatible substrate,DEFER,Edge recycling and exhaust only; zero core confinement credit,Experimental branch,PressureX sealed-fluid discipline,MHD vapor corrosion tritium and contamination tests
FIS-044,Rejected concept,Diamond inner liner,0,Diamond or CVD diamond,REJECT,No magnetic confinement function,No credit,None,PFC research only outside this architecture
FIS-045,Rejected concept,Glitter or conductive particulate,0,Any grade,REJECT,Contaminates plasma and cannot form flux surfaces,No credit,None,No promotion path
FIS-046,Rejected concept,Dense liquid confinement shell,0,Any passive liquid,REJECT,Mass density does not confine charged fusion plasma,No credit,PressureX donor boundary,Separate magneto-inertial architecture required
FIS-047,Rejected concept,Flexible breathing vacuum vessel,0,Metal bellows or pressure shell,REJECT,Cannot safely chase plasma timescales and disturbs geometry,No credit,IX-Breath donor boundary,No promotion path for SFR-1 overlay
FIS-048,Alternate field source,Permanent-magnet shaping array,TBD,High-coercivity rare-earth magnets,DEFER,Can shape field if it is an actual field source,Research candidate,IX-Shield geometry logic,Radiation temperature demagnetization and maintainability tests
FIS-049,Separate architecture,Imploding liquid or solid lithium liner,0 in SFR-3,Magnetized-target compression liner,SEPARATE,Compression confinement for a pulsed MTF machine only,External concept,None,Must not be merged with steady-state stellarator claim
FIS-050,Field co-design,Ferromagnetic blanket contribution model,1 solver input,Saturated dipole or validated finite-element representation,NEW,Accounts for steel-induced field perturbation,Candidate,AHIS disturbance estimation,CAD-linked differentiable field validation
FIS-051,Maintenance,Replaceable correction and shield cassette,TBD,Remote-handled nonmagnetic module,NEW,Maintains field integrity and shielding availability,Candidate,IX-GCR-SPE protected-zone logic,Remote handling and activation study
FIS-052,Evidence,Configuration and fault-evidence recorder,2 independent,Write-once run metadata and calibrated telemetry,NEW,Preserves falsifiable commissioning evidence,Candidate,AHIS and IX-Breath assurance,Cybersecurity timing and traceability validation
