id,workstream,component,selected_material_or_tool,function,status,evidence_gate
SFR4-045,magnet_and_heat,divertor_armor,6 mm segmented tungsten monoblock,receive concentrated exhaust heat,SELECTED,cyclic high-heat-flux tests open
SFR4-046,magnet_and_heat,divertor_interlayer,1 mm OFHC copper compliant layer,reduce W-CuCrZr joint stress,SELECTED,fatigue and irradiation open
SFR4-047,magnet_and_heat,divertor_heat_sink,2 mm CuCrZr,spread heat to coolant channels,SELECTED,temperature and irradiation limits open
SFR4-048,magnet_and_heat,divertor_coolant,independent pressurized water loop,remove 91.6 MW declared divertor load,SELECTED,CHF corrosion accident qualification open
SFR4-049,reactor_systems,divertor_topology,24-sector long-leg island-divertor requirement,expand wetted area and support detachment,SELECTED,3-D edge solution not run
SFR4-050,reactor_systems,radiative_exhaust,controlled impurity-seeded detachment requirement,radiate 60 percent of declared plasma exhaust,SELECTED,stable detachment not demonstrated
SFR4-051,reactor_systems,blanket_breeder,enriched PbLi DCLL,breed tritium and carry neutron heat,KEEP,3-D TBR MHD and corrosion open
SFR4-052,reactor_systems,flow_channel_insert,SiC or alumina electrical barrier,reduce PbLi MHD drag and corrosion,KEEP,loop qualification open
SFR4-053,reactor_systems,water_PbLi_isolation,double wall guard vacuum and independent leak detection,prevent direct coolant-breeder contact,SELECTED,accident and leak-rate tests open
SFR4-054,reactor_systems,vacuum_vessel,monitored 316LN-class double-wall vessel,primary vacuum and confinement-independent safety boundary,KEEP,nuclear code case open
SFR4-055,reactor_systems,neutron_shield,graded WC plus B4C,protect vessel and magnets,KEEP,3-D OpenMC optimization open
SFR4-056,reactor_systems,magnet_local_shield,HfH1.7 matrix local option,attenuate residual fast neutrons,DEFER,3-D placement and compatibility open
SFR4-057,reactor_systems,neutronics_solver,OpenMC plus qualified nuclear data,calculate TBR heating damage and streaming,REQUIRED,not installed in build runtime
SFR4-058,reactor_systems,primary_heat_exchanger,helium PbLi and water isolated trains,transfer heat without cross-contamination,NEW,thermohydraulic design open
SFR4-059,reactor_systems,power_cycle,supercritical steam or helium Brayton down-select,convert blanket heat to electricity,DEFER,temperature and materials closure required
SFR4-060,reactor_systems,tritium_plant,extraction cleanup storage and accountability,close fuel cycle,REQUIRED,inventory and safety analysis open
SFR4-061,reactor_systems,remote_maintenance,replaceable divertor and blanket cassettes,service activated components,REQUIRED,CAD access and dose study open
SFR4-062,reactor_systems,heat_instrumentation,dual-lane temperature flow pressure and leak network,detect heat-removal degradation,KEEP,radiation calibration open
SFR4-063,reactor_systems,protection_logic,sector isolation rundown and safe hold,limit fault propagation,KEEP,integrated hardware validation open
SFR4-064,reactor_systems,heat_test_facility,representative high-heat-flux coupon and channel loop,validate thermal model and fatigue,REQUIRED,physical campaign not performed
